Brand,Product,Price,Reviews,Rating,product_id
DIOR,Dior Addict Lip Glow Balm,0.026209677419354836,0.0,0.8333333333333334,45
HUDA BEAUTY,Blush Filter Soft Glow Liquid Blush,0.07459677419354839,0.00040008001600320064,0.9999999999999999,46
SEPHORA COLLECTION,Cleansing + Exfoliating Wipes,0.04032258064516129,0.17383476695339067,0.6666666666666666,47
Charlotte Tilbury,Lip Cheat Lip Liner,0.0020161290322580645,0.0,0.8333333333333334,48
The Ordinary,GF 15% Serum for Visible Skin Repair and Wrinkles,0.044354838709677415,0.033606721344268856,0.8333333333333334,49
Kérastase,Genesis Strengthening Serum for Hair and Scalp,0.025201612903225805,0.06681336267253452,0.6666666666666666,50
SEPHORA COLLECTION,Cream Lip Stain 10HR Liquid Lipstick,0.11895161290322581,0.1882376475295059,0.6666666666666666,51
Rare Beauty by Selena Gomez,Brow Harmony Flexible Lifting and Laminating Eyebrow Gel,0.026209677419354836,0.16543308661732345,0.8333333333333334,52
Charlotte Tilbury,Airbrush Flawless Finish Setting Powder,0.03225806451612903,0.00020004000800160032,0.6666666666666666,53
ILIA,Super Serum Skin Tint SPF 40 Skincare Foundation,0.05040322580645161,0.0010002000400080016,0.4999999999999999,54
Shiseido,Eyelash Curler,0.0907258064516129,0.5999199839967994,0.8333333333333334,55
KAYALI,YUM BOUJEE MARSHMALLOW | 81 Eau de Parfum Intense,0.008064516129032258,0.0,0.6666666666666666,56
CHANEL,CHANCE EAU TENDRE Eau de Toilette,0.05241935483870967,0.1344268853770754,0.8333333333333334,57
Rare Beauty by Selena Gomez,Warm Wishes Effortless Cream Bronzer Stick,0.18548387096774194,0.00040008001600320064,0.8333333333333334,58
HAUS LABS BY LADY GAGA,Triclone Skin Tech Hydrating + De-puffing Concealer with Fermented Arnica,0.05040322580645161,0.0,0.6666666666666666,59
MERIT,The Minimalist Perfecting Complexion Foundation and Concealer Stick,0.05846774193548387,0.00020004000800160032,0.6666666666666666,60
SEPHORA COLLECTION,Retractable EyeBrow Pencil - Waterproof,0.07056451612903226,0.000600120024004801,0.6666666666666666,61
Kosas,Revealer Extra Bright Serum-Powered Color Correctors for Dark Circles,0.02016129032258064,0.03620724144828966,0.6666666666666666,62
